source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
0,1,1,0,2,-0.2877,-0.2753,-0.2821,-0.3805,1.6207,training
0,1,1,0,3,-0.2804,-0.2666,-0.2782,-0.3836,1.5455,training
1,504,1,0,4,-0.2679,-0.2665,-0.2544,-0.3516,1.7455,training
2,4,0,1,0,3.2194,3.2454,3.4112,2.8617,1.9049,training
2,4,0,1,1,3.2167,3.2438,3.41,2.8137,1.8794,training
2,4,0,1,2,3.2202,3.2458,3.4108,3.021,1.9931,training
2,4,0,1,8,3.2141,3.2435,3.407,2.8377,1.8943,training
2,4,0,1,10,3.1799,3.2279,3.4173,2.7062,1.8376,training
2,4,0,1,19,3.2286,3.2501,3.4115,2.5868,1.7474,training
2,4,0,1,20,3.222,3.2485,3.4097,2.7492,1.8407,training
2,4,0,1,22,3.2378,3.2547,3.4116,2.7214,1.8177,training
2,4,0,1,23,3.2272,3.2507,3.4107,2.5495,1.7271,training
2,14,0,1,0,4.9469,5.0045,4.8975,4.4901,1.9224,training
2,14,0,1,1,4.9521,5.0069,4.8943,4.4307,1.898,training
2,14,0,1,19,4.9416,5.0024,4.8987,4.3624,1.8756,training
2,14,0,1,20,4.9469,5.004,4.8979,4.445,1.9053,training
2,14,0,1,21,4.9416,5.0023,4.8989,4.6178,1.973,training
2,14,0,1,23,4.9521,5.006,4.8968,4.5881,1.9579,training
2,26,0,1,0,2.3964,2.4754,2.5474,2.5014,2.1863,training
2,26,0,1,16,2.3964,2.4737,2.5462,2.4357,2.1392,training
2,26,0,1,22,2.3974,2.4751,2.5472,2.5409,2.2137,training
2,26,0,1,23,2.3937,2.4741,2.5464,2.5583,2.229,training
2,30,0,1,0,4.5788,4.6021,4.5687,4.729,2.1591,training
2,30,0,1,1,4.5788,4.6022,4.5685,4.2524,1.9644,training
2,30,0,1,2,4.5805,4.6022,4.569,4.2121,1.9472,training
2,30,0,1,9,4.5788,4.6021,4.5687,4.3965,2.0232,training
2,30,0,1,10,4.5823,4.603,4.5691,4.6296,2.1169,training
2,30,0,1,11,4.5805,4.6029,4.5688,4.6009,2.106,training
2,31,0,1,9,1.3761,1.4191,1.4552,1.5558,2.3259,training
2,31,0,1,10,1.3656,1.4135,1.451,1.2726,2.0254,training
2,31,0,1,13,1.3709,1.4153,1.4512,1.6506,2.4383,training
2,31,0,1,15,1.3709,1.415,1.4519,1.1335,1.8659,training
2,31,0,1,19,1.3761,1.42,1.4552,1.3409,2.0891,training
2,31,0,1,20,1.3604,1.4108,1.45,1.3206,2.0843,training
2,31,0,1,21,1.3735,1.4176,1.4512,1.3472,2.0991,training
