data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,0,1,1,0,3,3,0,1,0,44.0,54.2181,39.38604027413606,68.0,1.5454545454545454
training,1,504,1,0,3,4,0,1,0,45.0,53.2334,43.59580172416874,102.0,2.2666666666666666
training,2,57,0,1,6,6,0,1,0,95.0,129.3519,100.70842292819516,183.0,1.926315789473684
training,3,263,1,0,4,15,1,0,0,16.0,18.7941,16.431272910022397,60.0,3.75
training,4,5,0,1,3,20,0,1,0,53.0,52.1256,39.806035605838,67.0,1.2641509433962264
training,5,55,0,1,3,23,0,1,0,433.0,472.5899,331.6523996130991,738.0,1.7043879907621249
training,4,299,1,0,0,21,0,1,0,39.0,41.3322,31.692506090505763,69.0,1.7692307692307692
training,9,1027,1,0,2,1,0,1,0,22.0,31.1283,28.34066093997309,43.0,1.9545454545454544
training,10,11,1,0,2,4,0,1,0,32.0,43.1216,33.569972878801046,74.0,2.3125
training,11,12,1,0,2,6,0,1,0,28.0,39.5496,37.24074080908733,59.0,2.107142857142857
training,12,13,1,0,2,7,0,1,0,60.0,73.81989999999999,56.9862778154886,110.0,1.8333333333333333
training,13,9,1,0,2,9,1,0,0,67.0,67.586,52.256689893919706,112.0,1.671641791044776
training,18,19,0,1,3,16,1,0,0,49.0,70.06869999999999,62.33351698271,93.0,1.8979591836734693
training,19,728,0,1,3,18,1,0,0,67.0,86.55630000000001,79.28964980161632,102.0,1.5223880597014925
training,21,22,0,1,1,8,1,0,0,106.0,143.0736,125.69834504850613,267.0,2.518867924528302
training,22,23,0,1,1,16,1,0,0,121.0,165.00879999999998,147.7367476679677,241.0,1.991735537190083
training,23,24,0,1,1,21,0,1,0,54.0,69.9043,61.25988121848766,147.0,2.7222222222222223
training,24,1322,0,1,2,0,0,1,0,51.0,61.5216,56.150112224727934,146.0,2.862745098039216
training,25,1481,1,0,1,15,1,0,0,22.0,26.2316,21.718074296707137,55.0,2.5
training,26,27,0,1,5,23,0,1,0,388.0,544.8235,442.0167037088669,824.0,2.1237113402061856
